,Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
32,06-03-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
33,07-03-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
34,08-03-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5400,90
35,09-03-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,6825,105
36,10-03-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7650,128
37,11-03-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5638,103
38,12-03-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4750,95
39,13-03-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
40,14-03-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5550,93
41,15-03-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,7150,110
42,16-03-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7500,125
43,17-03-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5638,103
44,18-03-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4750,95
45,31-03-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
46,17-04-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,60,5400,90
47,18-04-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,65,6988,108
48,19-04-2020,Men's Street Footwear,Northeast,Walmart,Outlet,New York,60,7200,120
49,20-04-2020,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5500,100
50,21-04-2020,Women's Street Footwear,Northeast,Walmart,Outlet,New York,50,4625,93
51,22-04-2020,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,50,4500,90
52,23-04-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,60,5400,90
53,24-04-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,65,6500,100
54,25-04-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5688,88
55,26-04-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,70,7000,100
56,27-04-2020,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,7475,115
57,28-04-2020,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5363,98
58,29-04-2020,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,5060,92
59,30-04-2020,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,4950,90
60,01-05-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5688,88
61,02-05-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,70,6825,98
62,03-05-2020,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,7800,120
63,04-05-2020,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5500,100
64,05-05-2020,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,5225,95
65,06-05-2020,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,4950,90
66,07-05-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5850,90
67,18-07-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,70,7000,100
68,19-07-2020,Men's Street Footwear,Northeast,Sports Direct,Outlet,New York,25,2250,90
69,20-07-2020,Men's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,3150,90
70,21-07-2020,Women's Street Footwear,Northeast,Sports Direct,Outlet,New York,35,2450,70
71,22-07-2020,Women's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,2450,70
72,23-07-2020,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2200,55
73,24-07-2020,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450,70
74,25-07-2020,Men's Street Footwear,South,Sports Direct,Outlet,Texas,25,2125,85
75,26-07-2020,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2975,85
76,27-07-2020,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2363,68
77,28-07-2020,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2188,63
78,29-07-2020,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2000,50
79,30-07-2020,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450,70
80,31-07-2020,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2625,88
81,01-08-2020,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3500,88
82,02-08-2020,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2450,70
83,03-08-2020,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2400,60
84,04-08-2020,Men's Apparel,South,Sports Direct,Outlet,Texas,45,2250,50
85,05-08-2020,Women's Apparel,South,Sports Direct,Outlet,Texas,40,2600,65
86,06-08-2020,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2700,90
87,07-08-2020,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3600,90
88,08-08-2020,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2538,73
89,09-08-2020,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2500,63
90,10-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2363,53
91,11-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,40,3200,80
92,12-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,30,2775,93
93,13-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,40,3700,93
94,14-08-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,35,2713,78
95,15-08-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800,70
96,16-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2700,60
97,17-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,40,3800,95
98,18-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3800,95
99,19-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
100,20-08-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,40,3200,80
101,21-08-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,3000,75
102,22-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
103,23-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,50,5000,100
104,24-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3800,95
105,25-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
106,26-08-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,40,4400,110
107,27-08-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800,70
108,28-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,3150,70
109,29-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,50,4875,98
110,30-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3700,93
111,31-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4163,93
112,01-09-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,40,4400,110
113,02-09-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2600,65
114,03-09-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
115,04-09-2020,Women's Apparel,South,Walmart,Outlet,Texas,50,4500,90
116,05-09-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3825,85
117,06-09-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3825,85
118,07-09-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4500,90
119,08-09-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3125,63
120,09-09-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2813,63
121,10-09-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4675,85
122,11-09-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3600,80
123,12-09-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3600,80
124,13-09-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,3750,75
125,14-09-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3000,60
126,15-09-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2588,58
127,16-09-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4125,75
128,20-10-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,4050,90
129,21-10-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4050,90
130,22-10-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4125,83
131,23-10-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3375,68
132,24-10-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
133,25-10-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4675,85
134,26-10-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,4275,95
135,27-10-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
136,28-10-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4250,85
137,29-10-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3500,70
138,30-10-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
139,31-10-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4950,90
140,01-11-2020,Men's Street Footwear,South,West Gear,Outlet,Texas,40,3100,78
141,02-11-2020,Men's Athletic Footwear,South,West Gear,Outlet,Texas,50,3875,78
142,03-11-2020,Women's Street Footwear,South,West Gear,Outlet,Texas,50,3875,78
143,04-11-2020,Women's Athletic Footwear,South,West Gear,Outlet,Texas,50,3125,63
144,05-11-2020,Men's Apparel,West,West Gear,Outlet,California,55,3163,58
145,06-11-2020,Women's Apparel,West,West Gear,Outlet,California,50,3875,78
146,07-11-2020,Men's Street Footwear,West,West Gear,Outlet,California,40,3300,83
147,08-11-2020,Men's Athletic Footwear,West,West Gear,Outlet,California,50,3625,73
148,09-11-2020,Women's Street Footwear,West,West Gear,Outlet,California,50,3625,73
149,10-11-2020,Women's Athletic Footwear,West,West Gear,Outlet,California,50,2875,58
150,11-11-2020,Men's Apparel,West,West Gear,Outlet,California,55,2750,50
151,12-11-2020,Women's Apparel,West,West Gear,Outlet,California,50,3500,70
152,13-11-2020,Men's Street Footwear,West,West Gear,Outlet,California,50,4250,85
153,14-11-2020,Men's Athletic Footwear,West,West Gear,Outlet,California,60,4200,70
154,15-11-2020,Women's Street Footwear,West,West Gear,Outlet,California,60,4200,70
155,22-12-2020,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3600,60
156,23-12-2020,Men's Apparel,West,West Gear,Outlet,California,65,3250,50
157,24-12-2020,Women's Apparel,West,West Gear,Outlet,California,60,4200,70
158,25-12-2020,Men's Street Footwear,West,West Gear,Outlet,California,60,5250,88
159,26-12-2020,Men's Athletic Footwear,West,West Gear,Outlet,California,65,4388,68
160,27-12-2020,Women's Street Footwear,West,West Gear,Outlet,California,65,4713,73
161,28-12-2020,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3750,63
162,29-12-2020,Men's Apparel,West,West Gear,Outlet,California,65,3413,53
163,30-12-2020,Women's Apparel,West,West Gear,Outlet,California,80,5600,70
164,31-12-2020,Men's Street Footwear,West,West Gear,Outlet,California,60,5400,90
165,01-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,65,4875,75
166,02-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,4875,75
167,03-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3900,65
168,04-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,3575,55
169,05-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,5800,73
170,06-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,60,5850,98
171,07-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,65,5363,83
172,08-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,5363,83
173,09-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,60,4200,70
174,10-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,3738,58
175,11-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,7000,88
176,12-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,60,6150,103
177,13-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,65,5688,88
178,14-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,5363,83
179,15-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,60,4350,73
180,16-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,5038,78
181,17-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,6200,78
182,18-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,65,6338,98
183,19-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,70,6475,93
184,20-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,5200,80
185,21-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,65,4875,75
186,22-01-2021,Men's Apparel,West,West Gear,Outlet,California,75,5625,75
187,23-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,5800,73
188,24-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,5088,93
189,25-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5550,93
190,26-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,4263,78
191,27-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3988,73
192,28-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,4713,73
193,29-01-2021,Women's Apparel,West,West Gear,Outlet,California,70,5425,78
194,30-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,4813,88
195,31-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5250,88
196,01-02-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,3850,70
197,02-02-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3713,68
198,03-02-2021,Men's Apparel,West,West Gear,Outlet,California,65,4225,65
199,04-02-2021,Women's Apparel,West,West Gear,Outlet,California,70,4900,70
200,05-02-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,4813,88
201,06-02-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5250,88
202,07-02-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,3988,73
203,08-02-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3850,70
204,09-02-2021,Men's Apparel,West,West Gear,Outlet,California,65,4225,65
205,10-02-2021,Women's Apparel,West,West Gear,Outlet,California,70,5425,78
206,11-02-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,5363,98
207,12-02-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5850,98
208,13-02-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,4263,78
209,14-02-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,4263,78
210,15-02-2021,Men's Apparel,West,West Gear,Outlet,California,65,4550,70
211,16-02-2021,Women's Apparel,West,West Gear,Outlet,California,70,5600,80
212,17-02-2021,Men's Street Footwear,West,Kohl's,Outlet,California,35,2450,70
213,18-02-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,3150,70
214,09-03-2021,Women's Street Footwear,West,Kohl's,Outlet,California,45,3150,70
215,10-03-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
216,11-03-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2500,50
217,12-03-2021,Women's Apparel,West,Kohl's,Outlet,California,45,3150,70
218,13-03-2021,Men's Street Footwear,West,Kohl's,Outlet,California,35,2625,75
219,14-03-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
220,15-03-2021,Women's Street Footwear,West,Kohl's,Outlet,California,45,3038,68
221,16-03-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363,53
222,17-03-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2250,45
223,18-03-2021,Women's Apparel,West,Kohl's,Outlet,California,45,2925,65
224,19-03-2021,Men's Street Footwear,West,Kohl's,Outlet,California,35,2800,80
225,20-03-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
226,21-03-2021,Women's Street Footwear,West,Kohl's,Outlet,California,45,2925,65
227,22-03-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
228,23-03-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2125,43
229,06-04-2021,Women's Apparel,West,Kohl's,Outlet,California,45,2813,63
230,07-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,3600,80
231,08-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3000,60
232,09-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3125,63
233,10-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363,53
234,11-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2125,43
235,12-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,3900,60
236,13-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,3600,80
237,14-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
238,15-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250,65
239,16-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
240,17-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2250,45
241,18-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4063,63
242,19-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,4050,90
243,20-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3750,75
244,21-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3750,75
245,22-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2813,63
246,23-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2500,50
247,24-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,5200,80
248,25-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,4275,95
249,26-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,4000,80
250,27-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3750,75
251,28-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
252,29-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,3500,70
253,30-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
254,01-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4500,90
255,02-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4675,85
256,03-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3625,73
257,04-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3375,68
258,05-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,4050,68
259,06-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4225,65
260,07-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4250,85
261,08-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4675,85
262,09-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500,70
263,10-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
264,11-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3900,65
265,12-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
266,13-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4000,80
267,14-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4400,80
268,15-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250,65
269,16-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3125,63
270,17-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3600,60
271,18-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4225,65
272,19-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4125,83
273,20-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4538,83
274,21-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3375,68
275,22-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
276,23-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3600,60
277,24-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
278,25-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4500,90
279,26-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4950,90
280,27-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500,70
281,28-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3500,70
282,29-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3750,63
283,30-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4713,73
284,31-05-2021,Men's Street Footwear,West,Foot Locker,Outlet,California,45,2138,48
285,01-06-2021,Men's Athletic Footwear,West,Foot Locker,Outlet,California,45,1238,28
286,02-06-2021,Women's Street Footwear,West,Foot Locker,Outlet,California,35,963,28
287,03-06-2021,Women's Athletic Footwear,West,Foot Locker,Outlet,California,40,500,13
288,04-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
289,05-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238,28
290,06-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,45,2363,53
291,07-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,788,18
292,08-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,35,788,23
293,09-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,400,10
294,10-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
295,11-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238,28
296,12-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2475,50
297,13-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,1000,20
298,14-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,900,23
299,15-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
300,16-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,750,13
301,17-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
302,18-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2250,45
303,19-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,750,15
304,20-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,600,15
305,21-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
306,22-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,600,10
307,23-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
308,24-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,60,2970,50
309,25-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,55,1100,20
310,26-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,875,18
311,27-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,500,10
312,28-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,750,13
313,29-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,65,1625,25
314,30-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2500,50
315,01-07-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1125,25
316,02-07-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
317,03-07-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,700,18
318,04-07-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,875,18
319,05-07-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,1925,35
320,06-07-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2875,58
321,07-07-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1463,33
322,08-07-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,1000,25
323,09-07-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
